common_name,scientific_name,variety_name,days_to_germination_min,days_to_germination_max,days_to_harvest,spacing_inches,row_spacing_inches,sun_requirement,water_requirement,description,growing_notes,photo_url,tags
Raspberry - Red,Rubus idaeus,Heritage,0,0,730,24,72,full_sun,medium,Everbearing red raspberry,Perennial canes. Mature height: 4-6 feet. Root depth: medium. Spreads by suckers.,,"fruit,berry,bush,perennial,cold_hardy"
Raspberry - Black,Rubus occidentalis,Bristol,0,0,730,36,96,full_sun,medium,Sweet black raspberries,Perennial. Mature height: 5-7 feet. Tip-roots. Prune old canes after fruiting.,,"fruit,berry,bush,perennial,cold_hardy"
Raspberry - Golden,Rubus idaeus,Fall Gold,0,0,730,24,72,full_sun,medium,Sweet yellow raspberries,Perennial. Mature height: 4-6 feet. Everbearing type.,,"fruit,berry,bush,perennial,cold_hardy"
Blackberry - Thornless,Rubus fruticosus,Triple Crown,0,0,730,48,96,full_sun,medium,"Large, sweet blackberries without thorns",Perennial. Mature height: 5-8 feet. Semi-erect canes. Trellis recommended.,,"fruit,berry,bush,perennial,cold_hardy"
Blackberry - Trailing,Rubus ursinus,Marionberry,0,0,730,60,96,full_sun,medium,"Complex, wine-like flavor blackberry",Perennial. Vigorous trailing canes to 20 feet. Trellis required.,,"fruit,berry,bush,perennial"
Blueberry - Highbush,Vaccinium corymbosum,Bluecrop,0,0,1095,60,96,full_sun,high,"Large, sweet blueberries","Perennial shrub. Mature height: 4-6 feet, spread: 3-4 feet. Needs acidic soil (pH 4.5-5.5). Root depth: shallow.",,"fruit,berry,bush,perennial,cold_hardy"
Blueberry - Lowbush,Vaccinium angustifolium,Top Hat,0,0,1095,24,48,full_sun,medium,"Small, intensely flavored blueberries",Perennial. Mature height: 1-2 feet. Very cold hardy. Acidic soil needed.,,"fruit,berry,bush,perennial,cold_hardy"
Gooseberry,Ribes uva-crispa,Invicta,0,0,1095,48,72,partial_sun,medium,Tart berries for pies and jams,Perennial shrub. Mature height: 3-5 feet. Very cold hardy. Some varieties thorny.,,"fruit,berry,bush,perennial,cold_hardy"
Currant - Red,Ribes rubrum,Red Lake,0,0,1095,48,72,partial_sun,medium,Tart red berries for jellies,Perennial shrub. Mature height: 3-5 feet. Very cold hardy. Self-fertile.,,"fruit,berry,bush,perennial,cold_hardy"
Currant - Black,Ribes nigrum,Ben Sarek,0,0,1095,48,72,partial_sun,medium,Dark berries high in vitamin C,Perennial shrub. Mature height: 3-4 feet. Compact variety. Very nutritious.,,"fruit,berry,bush,perennial,cold_hardy"
