common_name,scientific_name,variety_name,days_to_germination_min,days_to_germination_max,days_to_harvest,spacing_inches,row_spacing_inches,sun_requirement,water_requirement,description,growing_notes,photo_url,tags
Clover - Red,Trifolium pratense,Medium Red,7,14,60,6,12,full_sun,medium,Nitrogen-fixing cover crop,Biennial/short-lived perennial. Adds 70-150 lbs N/acre. Zones 3-9. Mow or till under before seed set.,,"cover_crop,nitrogen_fixing,legume,perennial,cold_hardy"
Clover - White Dutch,Trifolium repens,White Dutch,7,14,60,6,12,full_sun,medium,Low-growing nitrogen fixer,Perennial ground cover. Adds 40-110 lbs N/acre. Zones 3-10. Spreads by stolons. Living mulch.,,"cover_crop,nitrogen_fixing,legume,perennial,cold_hardy,ground_cover"
Clover - Crimson,Trifolium incarnatum,Dixie,7,14,70,6,12,full_sun,medium,Fast-growing annual clover,Annual. Adds 70-150 lbs N/acre. Beautiful red flowers. Good for cool season.,,"cover_crop,nitrogen_fixing,legume,annual,cool_season"
Vetch - Hairy,Vicia villosa,Common,7,14,90,2,6,full_sun,medium,Excellent nitrogen fixer,Annual/biennial. Adds 100-200 lbs N/acre. Very cold hardy. Plant with cereal rye.,,"cover_crop,nitrogen_fixing,legume,annual,cold_hardy"
Pea - Field/Austrian Winter,Pisum sativum,Austrian Winter,7,14,90,2,6,full_sun,medium,Cool season nitrogen fixer,Annual. Adds 80-150 lbs N/acre. Very cold hardy. Tilled under before flowering.,,"cover_crop,nitrogen_fixing,legume,annual,cold_hardy"
Alfalfa,Medicago sativa,Common,7,14,60,12,18,full_sun,medium,Deep-rooted perennial legume,Perennial. Adds 150-250 lbs N/acre. Deep taproot (10+ feet) breaks up compaction. Zones 3-9.,,"cover_crop,nitrogen_fixing,legume,perennial,cold_hardy,deep_roots"
Cowpea,Vigna unguiculata,Iron & Clay,5,10,70,3,18,full_sun,low,Warm season nitrogen fixer,Annual. Adds 80-140 lbs N/acre. Heat and drought tolerant. Suppresses weeds well.,,"cover_crop,nitrogen_fixing,legume,annual,warm_season,drought_tolerant"
Sunn Hemp,Crotalaria juncea,Tropic Sun,5,10,60,6,12,full_sun,medium,"Tropical nitrogen fixer, nematode suppressor",Annual. Adds 100-150 lbs N/acre. Suppresses root-knot nematodes. Fast growing.,,"cover_crop,nitrogen_fixing,legume,annual,warm_season"
Rye - Winter/Cereal,Secale cereale,Wheeler,5,10,180,2,6,full_sun,medium,Hardy winter cover crop,Annual grain. Excellent erosion control. Very cold hardy. Allelopathic (suppresses weeds). Scavenges nitrogen.,,"cover_crop,grain,annual,cold_hardy,erosion_control"
Oats,Avena sativa,Common,5,10,70,2,6,full_sun,medium,Fast-growing cool season cover,Annual grain. Winter-kills in zone 6 and colder. Quick biomass. Good nurse crop for legumes.,,"cover_crop,grain,annual,cool_season"
Rye Grass - Annual,Lolium multiflorum,Gulf,5,10,60,2,6,full_sun,medium,Quick germinating cover,Annual. Very fast establishment. Erosion control. Scavenges nutrients. Easy to kill.,,"cover_crop,annual,cool_season,erosion_control"
Wheat - Winter,Triticum aestivum,Soft White Winter,5,10,220,2,6,full_sun,medium,Winter cover and grain crop,"Annual grain. Plant fall, harvest early summer. Scavenges nitrogen. Good biomass.",,"cover_crop,grain,annual,cold_hardy"
Barley,Hordeum vulgare,Common,5,10,90,2,6,full_sun,medium,Quick cover crop,Annual grain. Fast growing. Drought tolerant. Good for spring or fall planting.,,"cover_crop,grain,annual,drought_tolerant"
Millet - Pearl,Pennisetum glaucum,Common,5,10,60,6,12,full_sun,low,Warm season biomass crop,Annual grain. Heat and drought tolerant. Fast growing. Suppresses weeds.,,"cover_crop,grain,annual,warm_season,drought_tolerant"
Sorghum-Sudangrass,Sorghum bicolor × S. sudanense,Hybrid,5,10,70,6,18,full_sun,low,Massive biomass producer,Annual. Very fast growth. Deep roots break compaction. Allelopathic. Heat/drought tolerant.,,"cover_crop,grain,annual,warm_season,drought_tolerant,deep_roots"
Mustard - Yellow,Sinapis alba,Ida Gold,3,7,40,4,12,full_sun,medium,Biofumigant cover crop,Annual. Fast growing. Biofumigant properties suppress soil pests. Scavenges nutrients.,,"cover_crop,brassica,annual,cool_season,biofumigant"
Radish - Tillage/Daikon,Raphanus sativus,Groundhog,3,7,60,6,12,full_sun,medium,Deep-rooted biodriller,"Annual. Taproot penetrates 12-24 inches, breaking compaction. Winter-kills in zone 6. Scavenges deep nitrogen.",,"cover_crop,brassica,annual,cool_season,deep_roots,biofumigant"
Turnip - Forage,Brassica rapa,Purple Top,3,7,50,4,12,full_sun,medium,Fast-growing brassica cover,Annual/biennial. Quick biomass. Scavenges nutrients. Biofumigant properties.,,"cover_crop,brassica,annual,cool_season,biofumigant"
Rape - Forage,Brassica napus,Dwarf Essex,3,7,60,4,12,full_sun,medium,Cold-hardy brassica cover,Annual/biennial. Very cold hardy. Good fall cover. Scavenges nutrients well.,,"cover_crop,brassica,annual,cool_season,cold_hardy"
Buckwheat,Fagopyrum esculentum,Common,5,10,40,4,12,full_sun,medium,Fast summer cover crop,Annual. Very fast growth (35-40 days to flower). Scavenges phosphorus. Excellent pollinator attractant.,,"cover_crop,annual,warm_season,pollinator"
Phacelia - Lacy,Phacelia tanacetifolia,Lacy Phacelia,7,14,45,6,12,full_sun,medium,Pollinator-friendly cover crop,Annual. Excellent for beneficial insects. Fast growing. Good biomass. Blue flowers.,,"cover_crop,annual,cool_season,pollinator"
