common_name,scientific_name,variety_name,days_to_germination_min,days_to_germination_max,days_to_harvest,spacing_inches,row_spacing_inches,sun_requirement,water_requirement,description,growing_notes,photo_url,tags
Oak - Red,Quercus rubra,Northern Red Oak,30,60,7300,480,600,full_sun,medium,Majestic shade tree with fall color,"Perennial tree. Mature height: 60-75 feet, spread: 40-50 feet. Root depth: very deep. Zones 4-8. Slow growing.",,"tree,shade,perennial,cold_hardy,native,hardwood"
Oak - White,Quercus alba,White Oak,30,60,7300,480,600,full_sun,medium,Long-lived native oak,"Perennial tree. Mature height: 50-80 feet, spread: 50-80 feet. Root depth: very deep. Zones 3-9. Very long-lived.",,"tree,shade,perennial,cold_hardy,native,hardwood"
Apple - Honeycrisp,Malus domestica,Honeycrisp,0,0,1825,180,240,full_sun,medium,"Crisp, sweet apple","Perennial tree. Mature height: 12-15 feet (dwarf), 20-25 feet (standard). Spread: 12-15 feet. Root depth: deep. Cold hardy zones 3-6. Needs pollinator.",,"fruit,tree,perennial,cold_hardy"
Apple - Granny Smith,Malus domestica,Granny Smith,0,0,1825,180,240,full_sun,medium,"Tart green apple, great for baking",Perennial tree. Mature height: 12-15 feet (dwarf). Root depth: deep. Zones 5-9. Self-fertile.,,"fruit,tree,perennial,cold_hardy"
Apple - Fuji,Malus domestica,Fuji,0,0,1825,180,240,full_sun,medium,"Very sweet, crisp apple",Perennial tree. Mature height: 12-15 feet (dwarf). Root depth: deep. Zones 6-9. Needs pollinator.,,"fruit,tree,perennial"
Crabapple - Dolgo,Malus × adstringens,Dolgo,0,0,1095,180,240,full_sun,medium,"Small tart apples for jelly, ornamental flowers",Perennial tree. Mature height: 30-40 feet. Very cold hardy zones 2-8. Beautiful spring flowers.,,"fruit,tree,perennial,cold_hardy,ornamental"
Pear - Bartlett,Pyrus communis,Bartlett,0,0,1825,180,240,full_sun,medium,"Classic sweet, juicy pear",Perennial tree. Mature height: 15-20 feet (dwarf). Root depth: deep. Zones 5-7. Needs pollinator.,,"fruit,tree,perennial,cold_hardy"
Pear - Asian,Pyrus pyrifolia,Shinseiki,0,0,1460,180,240,full_sun,medium,"Crisp, apple-like pear",Perennial tree. Mature height: 12-15 feet. Root depth: deep. Zones 5-9. Partially self-fertile.,,"fruit,tree,perennial,cold_hardy"
Cherry - Sweet,Prunus avium,Bing,0,0,1825,180,240,full_sun,medium,"Large, dark sweet cherries","Perennial tree. Mature height: 15-25 feet (standard), 8-10 feet (dwarf). Root depth: medium. Zones 5-8. Needs pollinator.",,"fruit,tree,perennial,cold_hardy"
Cherry - Sour,Prunus cerasus,Montmorency,0,0,1460,180,240,full_sun,medium,Tart cherries for pies,Perennial tree. Mature height: 12-15 feet. Root depth: medium. Very cold hardy zones 4-7. Self-fertile.,,"fruit,tree,perennial,cold_hardy"
Peach,Prunus persica,Elberta,0,0,1095,180,240,full_sun,medium,Classic yellow freestone peach,"Perennial tree. Mature height: 15-25 feet (standard), 8-10 feet (dwarf). Root depth: medium. Zones 5-9. Self-fertile.",,"fruit,tree,perennial"
Nectarine,Prunus persica var. nucipersica,Fantasia,0,0,1095,180,240,full_sun,medium,Smooth-skinned peach,Perennial tree. Mature height: 12-15 feet (dwarf). Root depth: medium. Zones 6-9. Self-fertile.,,"fruit,tree,perennial"
Plum - European,Prunus domestica,Stanley,0,0,1460,180,240,full_sun,medium,Blue freestone plum for fresh eating and drying,Perennial tree. Mature height: 12-15 feet. Root depth: medium. Zones 5-7. Self-fertile.,,"fruit,tree,perennial,cold_hardy"
Plum - Japanese,Prunus salicina,Santa Rosa,0,0,1095,180,240,full_sun,medium,"Large, juicy red plum",Perennial tree. Mature height: 12-18 feet. Root depth: medium. Zones 6-9. Partially self-fertile.,,"fruit,tree,perennial"
Apricot,Prunus armeniaca,Moorpark,0,0,1095,180,240,full_sun,medium,"Sweet, aromatic apricots",Perennial tree. Mature height: 15-20 feet (standard). Root depth: medium. Zones 5-8. Self-fertile.,,"fruit,tree,perennial,cold_hardy"
Lemon - Meyer,Citrus × meyeri,Improved Meyer,0,0,730,120,180,full_sun,medium,"Sweet lemons, compact tree",Perennial tree. Mature height: 6-10 feet. Root depth: medium. Zones 9-11. Frost sensitive. Self-fertile.,,"fruit,tree,perennial,warm_season"
