common_name,scientific_name,variety_name,days_to_germination_min,days_to_germination_max,days_to_harvest,spacing_inches,row_spacing_inches,sun_requirement,water_requirement,description,growing_notes,photo_url,tags
Tomato - Beefsteak,Solanum lycopersicum,Beefsteak,5,10,80,24,36,full_sun,medium,"Large, meaty tomatoes perfect for slicing",Requires staking or caging. Indeterminate variety.,,"vegetable,fruiting,warm_season,annual"
Tomato - Cherry,Solanum lycopersicum,Cherry,5,10,65,24,36,full_sun,medium,"Small, sweet tomatoes great for snacking",Very productive. Often indeterminate.,,"vegetable,fruiting,warm_season,annual"
Tomato - Roma,Solanum lycopersicum,Roma,5,10,75,24,36,full_sun,medium,Paste tomato ideal for sauces and canning,Determinate variety. Meaty with few seeds.,,"vegetable,fruiting,warm_season,annual"
Tomato - Heirloom,Solanum lycopersicum,Brandywine,5,10,85,30,36,full_sun,medium,Classic heirloom with exceptional flavor,Indeterminate. Requires support. Disease-prone.,,"vegetable,fruiting,warm_season,annual,heirloom"
Pepper - Bell,Capsicum annuum,California Wonder,7,14,75,18,24,full_sun,medium,Sweet bell peppers in various colors,Harvest green or wait for color change,,"vegetable,fruiting,warm_season,annual"
Pepper - Jalapeño,Capsicum annuum,Jalapeño,7,14,70,14,24,full_sun,medium,Medium-heat chili pepper,Harvest while green or let ripen to red,,"vegetable,fruiting,warm_season,annual,spicy"
Pepper - Cayenne,Capsicum annuum,Long Red Cayenne,7,14,70,18,24,full_sun,medium,Hot pepper for drying and powder,"Very productive. 30,000-50,000 Scoville units.",,"vegetable,fruiting,warm_season,annual,spicy"
Pepper - Habanero,Capsicum chinense,Habanero,10,21,90,18,24,full_sun,medium,Extremely hot pepper with fruity flavor,"100,000-350,000 Scoville units. Handle with care.",,"vegetable,fruiting,warm_season,annual,spicy"
Lettuce - Romaine,Lactuca sativa,Parris Island Cos,2,7,60,8,12,partial_sun,high,"Crisp, upright lettuce",Cool season crop. Harvest before bolting.,,"vegetable,leafy,cool_season,annual"
Lettuce - Butterhead,Lactuca sativa,Buttercrunch,2,7,55,8,12,partial_sun,high,"Tender, buttery textured lettuce",Heat tolerant for lettuce. Sweet flavor.,,"vegetable,leafy,cool_season,annual"
